filename,words,year_float,characters,num_pages,orientation,year,words_per_page,chars_per_word,appx_start,ref_start,appx_len_chars,ref_len_chars,appx_len_words,ref_len_words,appx_prop_words,ref_prop_words,appx_prop_chars,ref_prop_chars,ref_words_per_char,appx_words_per_char,body_len_chars,body_len_words
2004/p294-scott,9324,2004.0,63463,10,0.0,2004,932.4,6.806413556413556,False,59402,0,4061,0,543,0.0,0.058236808236808234,0.0,0.06399004144146983,7.4788213627992635,,59402,8781
2004/p29-tollinger,8357,2004.0,54119,10,0.0,2004,835.7,6.475888476726098,False,49173,0,4946,0,681,0.0,0.08148857245422998,0.0,0.09139119348103254,7.262848751835536,,49173,7676
2004/p304-halverson,10438,2004.0,65317,10,0.0,2004,1043.8,6.2576164016095035,False,61147,0,4170,0,568,0.0,0.054416554895573864,0.0,0.06384249123505366,7.341549295774648,,61147,9870
2004/p314-soroka,10059,2004.0,64058,10,0.0,2004,1005.9,6.368227457997813,False,57692,0,6366,0,876,0.0,0.08708619147032508,0.0,0.09937868806394205,7.267123287671233,,57692,9183
2004/p324-grudin,3572,2004.0,23677,4,0.0,2004,893.0,6.628499440089586,False,22274,0,1403,0,186,0.0,0.052071668533034715,0.0,0.05925581788233306,7.543010752688172,,22274,3386
2004/p328-goecks,3158,2004.0,20606,4,0.0,2004,789.5,6.525015832805573,False,19437,0,1169,0,158,0.0,0.050031665611146296,0.0,0.056731049208968265,7.39873417721519,,19437,3000
2004/p332-winberg,9491,2004.0,58519,10,0.0,2004,949.1,6.165735960383521,False,54988,0,3531,0,504,0.0,0.05310293962701507,0.0,0.060339376954493415,7.005952380952381,,54988,8987
2004/p342-goodall,3914,2004.0,26143,4,0.0,2004,978.5,6.679356157383751,False,24601,0,1542,0,217,0.0,0.05544200306591722,0.0,0.05898328424434839,7.105990783410138,,24601,3697
2004/p346-garcia,3447,2004.0,22803,4,0.0,2004,861.75,6.6153176675369885,False,21710,0,1093,0,148,0.0,0.04293588627792283,0.0,0.047932289611016095,7.385135135135135,,21710,3299
2004/p350-brown,9326,2004.0,59650,10,0.0,2004,932.6,6.396096933304739,False,51864,0,7786,0,1090,0.0,0.11687754664379155,0.0,0.13052808046940487,7.143119266055046,,51864,8236
2004/p360-ducheneaut,9848,2004.0,63750,10,0.0,2004,984.8,6.473395613322502,False,59064,0,4686,0,593,0.0,0.06021527213647441,0.0,0.07350588235294117,7.902192242833053,,59064,9255
2004/p370-golder,3786,2004.0,24347,4,0.0,2004,946.5,6.430797675647121,False,22968,0,1379,0,195,0.0,0.05150554675118859,0.0,0.05663942169466464,7.0717948717948715,,22968,3591
2004/p374-yoon,2553,2004.0,17711,4,0.0,2004,638.25,6.937328632980807,False,15284,0,2427,0,340,0.0,0.13317665491578534,0.0,0.1370334820168257,7.1382352941176475,,15284,2213
2004/p378-twidale,9057,2004.0,56902,10,0.0,2004,905.7,6.282654300541018,False,52757,0,4145,0,568,0.0,0.06271392293253837,0.0,0.07284453973498295,7.297535211267606,,52757,8489
2004/p388-barrett,7101,2004.0,48133,8,0.0,2004,887.625,6.778341078721307,False,43130,0,5003,0,644,0.0,0.09069145190818195,0.0,0.10394116302744479,7.7686335403726705,,43130,6457
2004/p396-crabtree,7583,2004.0,51247,10,0.0,2004,758.3,6.758143215086378,False,44024,0,7223,0,950,0.0,0.1252802320981142,0.0,0.14094483579526607,7.603157894736842,,44024,6633
2004/p39-mccarthy,9693,2004.0,62986,10,0.0,2004,969.3,6.498091406169401,False,58223,0,4763,0,637,0.0,0.06571752811307129,0.0,0.07561997904296193,7.47723704866562,,58223,9056
2004/p409-chin,5917,2004.0,42549,10,0.0,2004,591.7,7.190975156329221,False,36783,0,5766,0,717,0.0,0.1211762717593375,0.0,0.13551434816329408,8.0418410041841,,36783,5200
2004/p419-yankelovich,8571,2004.0,55824,10,0.0,2004,857.1,6.513125656282814,False,48226,0,7598,0,1043,0.0,0.12168941780422354,0.0,0.13610633419317855,7.284755512943432,,48226,7528
2004/p429-bos,6886,2004.0,47053,8,0.0,2004,860.75,6.833139703746732,False,41940,0,5113,0,689,0.0,0.10005808887598025,0.0,0.10866469725628547,7.420899854862119,,41940,6197
2004/p437-sun,9398,2004.0,63364,10,0.0,2004,939.8,6.742285592679293,False,58677,0,4687,0,628,0.0,0.06682272824005107,0.0,0.07396944637333501,7.463375796178344,,58677,8770
2004/p447-ignat,10716,2004.0,76319,10,0.0,2004,1071.6,7.121967151922359,False,73040,0,3279,0,440,0.0,0.041060097051138486,0.0,0.04296439942871369,7.452272727272727,,73040,10276
2004/p457-li,10390,2004.0,66235,10,0.0,2004,1039.0,6.374879692011549,False,61298,0,4937,0,651,0.0,0.06265640038498556,0.0,0.07453763116177248,7.583717357910906,,61298,9739
2004/p467-miwa,7430,2004.0,49799,10,0.0,2004,743.0,6.702422611036339,False,45016,0,4783,0,622,0.0,0.08371467025572005,0.0,0.09604610534348079,7.689710610932476,,45016,6808
2004/p477-kuzuoka,7409,2004.0,50613,10,0.0,2004,740.9,6.831286273451208,False,45666,0,4947,0,678,0.0,0.09151032528006478,0.0,0.09774168691838066,7.29646017699115,,45666,6731
